Time [das],Tension [g],Steps
1031.6379,540,100
1031.73,540,100
1031.8249,540,100
1031.9229,540,100
1032.0238,540,100
1032.1609,540,100
1032.2571,540,100
1032.3539,540,100
1032.4528,540,100
1032.5478,540,100
1032.6448,540,100
1032.7398,540,100
1032.8338,540,100
1032.9288,540,100
1033.0229,540,100
1033.1189,540,100
1033.2599,540,100
1033.3539,540,100
1033.4479,540,100
1033.5439,540,100
1033.638,540,100
1033.7328,540,100
1033.8298,540,100
1033.925,540,100
1034.0188,540,100
1034.1128,540,100
1034.2078,540,100
1034.3479,540,100
1034.4428,540,100
1034.5369,540,100
1034.6318,540,100
1034.7259,540,100
1034.8278,540,100
1034.9237,540,100
1035.021,540,100
1035.1149,540,100
1035.2099,540,100
1035.3057,540,100
1035.4447,540,100
1035.5387,540,100
1035.6338,540,100
1035.7267,540,100
1035.8207,540,100
1035.9137,540,100
1036.0097,540,100
1036.1037,540,100
1036.1987,540,100
1036.2917,540,100
1036.3857,540,100
1036.5207,540,100
1036.6208,540,100
1036.7148,540,100
1036.8098,540,100
1036.9027,540,100
1036.9957,540,100
1037.0896,540,100
1037.1876,540,100
1037.2826,540,100
1037.3786,540,100
1037.4726,540,100
1037.6078,540,100
1037.7006,540,100
1037.7986,540,100
1037.8926,540,100
1037.9866,540,100
1038.0806,540,100
1038.1726,540,100
1038.2686,540,100
1038.3626,540,100
1038.4606,540,100
1038.5556,540,100
1038.6926,540,100
1038.7866,540,100
1038.8826,540,100
1038.9756,540,100
1039.0736,540,100
1039.1665,540,100
1039.2596,540,100
1039.3545,540,100
1039.4538,540,100
1039.5555,540,100
1039.6575,540,100
1039.7986,540,100
1039.8937,540,100
1039.9896,540,100
1040.0865,540,100
1040.1845,540,100
1040.2795,540,100
1040.3735,540,100
1040.4666,540,100
1040.5597,540,100
1040.6535,540,100
1040.7525,540,100
1040.8895,540,100
1040.9826,540,100
1041.0756,540,100
1041.1715,540,100
1041.2646,540,100
1041.3596,540,100
1041.4545,540,100
1041.5485,540,100
1041.6415,540,100
1041.7364,540,100
1041.8296,540,100
1041.9676,540,100
1042.0624,540,100
1042.1564,540,100
1042.2494,540,100
1042.3514,540,100
1042.4524,540,100
1042.5554,540,100
1042.6574,540,100
1042.7564,540,100
1042.8536,540,100
1042.9537,540,100
1043.0954,540,100
1043.1964,540,100
1043.2915,540,100
1043.3864,540,100
1043.4795,540,100
1043.5745,540,100
1043.6694,540,100
1043.7666,540,100
1043.8624,540,100
1043.9555,540,100
1044.0483,540,100
1044.1873,540,100
1044.2843,540,100
1044.3795,540,100
1044.4723,540,100
1044.5653,540,100
1044.6585,540,100
1044.7555,540,100
1044.8513,540,100
1044.9493,540,100
1045.0433,540,100
1045.1373,540,100
1045.2753,540,100
1045.3683,540,100
1045.4633,540,100
1045.5594,540,100
1045.6553,540,100
1045.7543,540,100
1045.8533,540,100
1045.9575,540,100
1046.0604,540,100
1046.1593,540,100
1046.2553,540,100
1046.3902,540,100
1046.4842,540,100
1046.5782,540,100
1046.6782,540,100
1046.7722,540,100
1046.8662,540,100
1046.9592,540,100
1047.0552,540,100
1047.1562,540,100
1047.2563,540,100
1047.3512,540,100
1047.4882,540,100
1047.5802,540,100
1047.6762,540,100
1047.7772,540,100
1047.8782,540,100
1047.9722,540,100
1048.0672,540,100
1048.1602,540,100
1048.2542,540,100
1048.3521,540,100
1048.4462,540,100
1048.5823,540,100
1048.6763,540,100
1048.7701,540,100
1048.8671,540,100
1048.9611,540,100
1049.0591,540,100
1049.1551,540,100
1049.2481,540,100
1049.3421,540,100
1049.4361,540,100
1049.5351,540,100
1049.6771,540,100
1049.7761,540,100
1049.8761,540,100
1049.9731,540,100
1050.0701,540,100
1050.1632,540,100
1050.2621,540,100
1050.3561,540,100
1050.4491,540,100
1050.5431,540,100
1050.6392,540,100
1050.7763,540,100
1050.8701,540,100
1050.9641,540,100
1051.056,540,100
1051.1503,540,100
1051.245,540,100
1051.343,540,100
1051.436,540,100
1051.53,540,100
1051.624,540,100
1051.717,540,100
1051.855,540,100
1051.95,540,100
1052.048,540,100
1052.142,540,100
1052.235,540,100
1052.3291,540,100
1052.424,540,100
1052.523,540,100
1052.6213,540,100
1052.721,540,100
1052.817,540,100
1052.956,540,100
1053.0541,540,100
1053.154,540,100
1053.253,540,100
1053.351,540,100
1053.449,540,100
1053.5471,540,100
1053.6419,540,100
1053.7351,540,100
1053.8309,540,100
1053.9241,540,100
1054.062,540,100
1054.156,540,100
1054.254,540,100
1054.3471,540,100
1054.4429,540,100
1054.5361,540,100
1054.632,540,100
1054.7259,540,100
1054.823,540,100
1054.9189,540,100
1055.013,540,100
1055.1501,540,100
1055.2459,540,100
1055.3399,540,100
1055.434,540,100
1055.5309,540,100
1055.6259,540,100
1055.7199,540,100
1055.812,540,100
1055.9069,540,100
1056.0048,540,100
1056.1008,540,100
1056.236,540,100
1056.3288,540,100
1056.4199,540,100
1056.5148,540,100
1056.608,540,100
1056.7068,540,100
1056.804,540,100
1056.8989,540,100
1056.992,540,100
1057.0898,540,100
1057.1838,540,100
1057.3248,540,100
1057.4188,540,100
1057.5129,540,100
1057.6059,540,100
1057.7009,540,100
1057.798,540,100
1057.8939,540,100
1057.9878,540,100
1058.0817,540,100
1058.1757,540,100
1058.2687,540,100
1058.4049,540,100
1058.4987,540,100
1058.5937,540,100
1058.6897,540,100
1058.7857,540,100
1058.8827,540,100
1058.9787,540,100
1059.0757,540,100
1059.1707,540,100
1059.2637,540,100
1059.3587,540,100
1059.4937,540,100
1059.5887,540,100
1059.6827,540,100
1059.7767,540,100
1059.8688,540,100
1059.9637,540,100
1060.0567,540,100
1060.1546,540,100
1060.2478,540,100
1060.3437,540,100
1060.4387,540,100
1060.5748,540,100
1060.6726,540,100
1060.7668,540,100
1060.8637,540,100
1060.9606,540,100
1061.0546,540,100
1061.1486,540,100
1061.2466,540,100
1061.3488,540,100
1061.4446,540,100
1061.5396,540,100
1061.6789,540,100
1061.7767,540,100
1061.8787,540,100
1061.9826,540,100
1062.0777,540,100
1062.1726,540,100
1062.2666,540,100
1062.3595,540,100
1062.4567,540,100
1062.5526,540,100
1062.6517,540,100
1062.7885,540,100
1062.8825,540,100
1062.9755,540,100
1063.0705,540,100
1063.1675,540,100
1063.2665,540,100
1063.3607,540,100
1063.4545,540,100
1063.5475,540,100
1063.6407,540,100
1063.7375,540,100
1063.8795,540,100
1063.9785,540,100
1064.0765,540,100
1064.1735,540,100
1064.2705,540,100
1064.3635,540,100
1064.4615,540,100
1064.5566,540,100
1064.6505,540,100
1064.7437,540,100
1064.8394,540,100
1064.9765,540,100
1065.0696,540,100
1065.1644,540,100
1065.2575,540,100
1065.3514,540,100
1065.4444,540,100
1065.5434,540,100
1065.6384,540,100
1065.7334,540,100
1065.8274,540,100
1065.9204,540,100
1066.0584,540,100
1066.1584,540,100
1066.2524,540,100
1066.3504,540,100
1066.4465,540,100
1066.5445,540,100
1066.6415,540,100
1066.7404,540,100
1066.8354,540,100
1066.9295,540,100
1067.0234,540,100
1067.1604,540,100
1067.2534,540,100
1067.3513,540,100
1067.4523,540,100
1067.5473,540,100
1067.6404,540,100
1067.7326,540,100
1067.8293,540,100
1067.9293,540,100
1068.0243,540,100
1068.1193,540,100
1068.2573,540,100
1068.3493,540,100
1068.4443,540,100
1068.5373,540,100
1068.6325,540,100
1068.7283,540,100
1068.8233,540,100
1068.9153,540,100
1069.0103,540,100
1069.1043,540,100
1069.2023,540,100
1069.3383,540,100
1069.4324,540,100
1069.5253,540,100
1069.6223,540,100
1069.7202,540,100
1069.8153,540,100
1069.9102,540,100
1070.0043,540,100
1070.0972,540,100
1070.1902,540,100
1070.2854,540,100
1070.4194,540,100
1070.5142,540,100
1070.6072,540,100
1070.7022,540,100
1070.7954,540,100
1070.8892,540,100
1070.9872,540,100
1071.0852,540,100
1071.1792,540,100
1071.2742,540,100
1071.3682,540,100
1071.5122,540,100
1071.6062,540,100
1071.7004,540,100
1071.7932,540,100
1071.8884,540,100
1071.9824,540,100
1072.0811,540,100
1072.1742,540,100
1072.2711,539,100
1072.3651,539,100
1072.4581,539,100
1072.5931,539,100
1072.6911,540,100
1072.7841,540,100
1072.8791,540,100
1072.9723,539,100
1073.0651,539,100
1073.1603,539,100
1073.2531,539,100
1073.3502,539,100
1073.4441,539,100
1073.5381,539,100
1073.6751,539,100
1073.7701,540,100
1073.8641,540,100
1073.9621,540,100
1074.0571,540,100
1074.1522,540,100
1074.245,540,100
1074.3411,540,100
1074.436,540,100
1074.5312,540,100
1074.6272,540,100
1074.767,540,100
1074.8591,540,100
1074.9552,540,100
1075.0491,540,100
1075.1472,540,100
1075.2421,540,100
1075.3351,540,100
1075.4281,540,100
1075.522,540,100
1075.617,540,100
1075.711,540,100
1075.8472,540,100
1075.941,540,100
1076.035,540,100
1076.129,540,100
1076.223,540,100
1076.3209,540,100
1076.417,540,100
1076.5109,540,100
1076.606,540,100
1076.7,540,100
1076.7939,540,100
1076.933,540,100
1077.0309,540,100
1077.1239,540,100
1077.2181,540,100
1077.3121,540,100
1077.4069,540,100
1077.5042,540,100
1077.5989,540,100
1077.6991,540,100
1077.8009,540,100
1077.905,540,100
1078.0519,539,100
1078.1509,539,100
1078.2469,539,100
1078.3399,539,100
1078.4349,539,100
1078.5289,539,100
1078.628,539,100
1078.722,539,100
1078.8199,540,100
1078.9139,540,100
1079.0079,540,100
1079.1438,539,100
1079.2418,539,100
1079.336,539,100
1079.4338,539,100
1079.5278,539,100
1079.621,539,100
1079.7148,539,100
1079.8088,539,100
1079.9038,539,100
1080.0018,539,100
1080.0958,539,100
1080.2308,539,100
1080.3259,539,100
1080.4249,539,100
1080.5259,539,100
1080.6269,539,100
1080.7248,539,100
1080.8218,539,100
1080.9188,539,100
1081.0149,539,100
1081.1088,539,100
1081.2018,539,100
1081.3399,539,100
1081.4327,539,100
1081.5269,539,100
1081.6217,539,100
1081.7187,539,100
1081.8137,539,100
1081.9089,539,100
1082.0019,539,100
1082.0957,539,100
1082.1897,539,100
1082.2868,539,100
1082.4307,539,100
1082.5248,539,100
1082.6177,539,100
1082.7118,539,100
1082.8128,539,100
1082.9157,539,100
1083.0117,540,100
1083.1058,540,100
1083.1997,540,100
1083.2918,540,100
1083.3877,540,100
1083.5297,540,100
1083.6256,540,100
1083.7237,540,100
1083.8217,539,100
1083.9207,539,100
1084.0156,539,100
1084.1129,539,100
1084.2088,539,100
1084.3036,539,100
1084.3976,539,100
1084.4908,539,100
1084.6296,539,100
1084.7226,539,100
1084.8166,539,100
1084.9106,539,100
1085.0047,539,100
1085.0986,540,100
1085.1937,540,100
1085.2936,540,100
1085.3896,540,100
1085.4847,540,100
1085.5796,540,100
1085.7158,540,100
1085.8126,540,100
1085.9067,540,100
1086.0055,540,100
1086.1005,540,100
1086.1945,540,100
1086.2867,540,100
1086.3815,540,100
